TERM,MEANING
S329XXK,"Fx unsp parts of lumbosacr spin & pelv, 7thK"
S329XXS,"Fx unsp parts of lumbosacral spine & pelvis, sequela"
S330XXA,"Traumatic rupture of lumbar intervertebral disc, init encntr"
S330XXD,"Traumatic rupture of lumbar intervertebral disc, subs encntr"
S330XXS,"Traumatic rupture of lumbar intervertebral disc, sequela"
S33100A,"Subluxation of unspecified lumbar vertebra, init encntr"
S33100D,"Subluxation of unspecified lumbar vertebra, subs encntr"
S33100S,"Subluxation of unspecified lumbar vertebra, sequela"
S33101A,"Dislocation of unspecified lumbar vertebra, init encntr"
S33101D,"Dislocation of unspecified lumbar vertebra, subs encntr"
S33101S,"Dislocation of unspecified lumbar vertebra, sequela"
S33110A,"Subluxation of L1/L2 lumbar vertebra, initial encounter"
S33110D,"Subluxation of L1/L2 lumbar vertebra, subsequent encounter"
S33110S,"Subluxation of L1/L2 lumbar vertebra, sequela"
S33111A,"Dislocation of L1/L2 lumbar vertebra, initial encounter"
S33111D,"Dislocation of L1/L2 lumbar vertebra, subsequent encounter"
S33111S,"Dislocation of L1/L2 lumbar vertebra, sequela"
S33120A,"Subluxation of L2/L3 lumbar vertebra, initial encounter"
S33120D,"Subluxation of L2/L3 lumbar vertebra, subsequent encounter"
S33120S,"Subluxation of L2/L3 lumbar vertebra, sequela"
S33121A,"Dislocation of L2/L3 lumbar vertebra, initial encounter"
S33121D,"Dislocation of L2/L3 lumbar vertebra, subsequent encounter"
S33121S,"Dislocation of L2/L3 lumbar vertebra, sequela"
S33130A,"Subluxation of L3/L4 lumbar vertebra, initial encounter"
S33130D,"Subluxation of L3/L4 lumbar vertebra, subsequent encounter"
S33130S,"Subluxation of L3/L4 lumbar vertebra, sequela"
S33131A,"Dislocation of L3/L4 lumbar vertebra, initial encounter"
S33131D,"Dislocation of L3/L4 lumbar vertebra, subsequent encounter"
S33131S,"Dislocation of L3/L4 lumbar vertebra, sequela"
S33140A,"Subluxation of L4/L5 lumbar vertebra, initial encounter"
S33140D,"Subluxation of L4/L5 lumbar vertebra, subsequent encounter"
S33140S,"Subluxation of L4/L5 lumbar vertebra, sequela"
S33141A,"Dislocation of L4/L5 lumbar vertebra, initial encounter"
S33141D,"Dislocation of L4/L5 lumbar vertebra, subsequent encounter"
S33141S,"Dislocation of L4/L5 lumbar vertebra, sequela"
S332XXA,"Dislocation of sacroiliac and sacrococcygeal joint, init"
S332XXD,"Dislocation of sacroiliac and sacrococcygeal joint, subs"
S332XXS,"Dislocation of sacroiliac and sacrococcygeal joint, sequela"
S3330XA,"Dislocation of unsp parts of lumbar spine and pelvis, init"
S3330XD,"Dislocation of unsp parts of lumbar spine and pelvis, subs"
S3330XS,"Dislocation of unsp parts of lumbar spine & pelvis, sequela"
S3339XA,"Dislocation of oth prt lumbar spine and pelvis, init encntr"
S3339XD,"Dislocation of oth prt lumbar spine and pelvis, subs encntr"
S3339XS,"Dislocation of oth parts of lumbar spine and pelvis, sequela"
S334XXA,"Traumatic rupture of symphysis pubis, initial encounter"
S334XXD,"Traumatic rupture of symphysis pubis, subsequent encounter"
S334XXS,"Traumatic rupture of symphysis pubis, sequela"
S335XXA,"Sprain of ligaments of lumbar spine, initial encounter"
S335XXD,"Sprain of ligaments of lumbar spine, subsequent encounter"
S335XXS,"Sprain of ligaments of lumbar spine, sequela"
S336XXA,"Sprain of sacroiliac joint, initial encounter"
S336XXD,"Sprain of sacroiliac joint, subsequent encounter"
S336XXS,"Sprain of sacroiliac joint, sequela"
S338XXA,"Sprain of oth parts of lumbar spine and pelvis, init encntr"
S338XXD,"Sprain of oth parts of lumbar spine and pelvis, subs encntr"
S338XXS,"Sprain of other parts of lumbar spine and pelvis, sequela"
S339XXA,"Sprain of unsp parts of lumbar spine and pelvis, init encntr"
S339XXD,"Sprain of unsp parts of lumbar spine and pelvis, subs encntr"
S339XXS,"Sprain of unsp parts of lumbar spine and pelvis, sequela"
S3401XA,"Concussion and edema of lumbar spinal cord, init encntr"
S3401XD,"Concussion and edema of lumbar spinal cord, subs encntr"
S3401XS,"Concussion and edema of lumbar spinal cord, sequela"
S3402XA,"Concussion and edema of sacral spinal cord, init encntr"
S3402XD,"Concussion and edema of sacral spinal cord, subs encntr"
S3402XS,"Concussion and edema of sacral spinal cord, sequela"
S34101A,"Unsp injury to L1 level of lumbar spinal cord, init encntr"
S34101D,"Unsp injury to L1 level of lumbar spinal cord, subs encntr"
S34101S,"Unsp injury to L1 level of lumbar spinal cord, sequela"
S34102A,"Unsp injury to L2 level of lumbar spinal cord, init encntr"
S34102D,"Unsp injury to L2 level of lumbar spinal cord, subs encntr"
S34102S,"Unsp injury to L2 level of lumbar spinal cord, sequela"
S34103A,"Unsp injury to L3 level of lumbar spinal cord, init encntr"
S34103D,"Unsp injury to L3 level of lumbar spinal cord, subs encntr"
S34103S,"Unsp injury to L3 level of lumbar spinal cord, sequela"
S34104A,"Unsp injury to L4 level of lumbar spinal cord, init encntr"
S34104D,"Unsp injury to L4 level of lumbar spinal cord, subs encntr"
S34104S,"Unsp injury to L4 level of lumbar spinal cord, sequela"
S34105A,"Unsp injury to L5 level of lumbar spinal cord, init encntr"
S34105D,"Unsp injury to L5 level of lumbar spinal cord, subs encntr"
S34105S,"Unsp injury to L5 level of lumbar spinal cord, sequela"
S34109A,"Unsp injury to unsp level of lumbar spinal cord, init encntr"
S34109D,"Unsp injury to unsp level of lumbar spinal cord, subs encntr"
S34109S,"Unsp injury to unsp level of lumbar spinal cord, sequela"
S34111A,"Complete lesion of L1 level of lumbar spinal cord, init"
S34111D,"Complete lesion of L1 level of lumbar spinal cord, subs"
S34111S,"Complete lesion of L1 level of lumbar spinal cord, sequela"
S34112A,"Complete lesion of L2 level of lumbar spinal cord, init"
S34112D,"Complete lesion of L2 level of lumbar spinal cord, subs"
S34112S,"Complete lesion of L2 level of lumbar spinal cord, sequela"
S34113A,"Complete lesion of L3 level of lumbar spinal cord, init"
S34113D,"Complete lesion of L3 level of lumbar spinal cord, subs"
S34113S,"Complete lesion of L3 level of lumbar spinal cord, sequela"
S34114A,"Complete lesion of L4 level of lumbar spinal cord, init"
S34114D,"Complete lesion of L4 level of lumbar spinal cord, subs"
S34114S,"Complete lesion of L4 level of lumbar spinal cord, sequela"
S34115A,"Complete lesion of L5 level of lumbar spinal cord, init"
S34115D,"Complete lesion of L5 level of lumbar spinal cord, subs"
S34115S,"Complete lesion of L5 level of lumbar spinal cord, sequela"
S34119A,"Complete lesion of unsp level of lumbar spinal cord, init"
S34119D,"Complete lesion of unsp level of lumbar spinal cord, subs"
S34119S,"Complete lesion of unsp level of lumbar spinal cord, sequela"
S34121A,"Incomplete lesion of L1 level of lumbar spinal cord, init"
S34121D,"Incomplete lesion of L1 level of lumbar spinal cord, subs"
S34121S,"Incomplete lesion of L1 level of lumbar spinal cord, sequela"
S34122A,"Incomplete lesion of L2 level of lumbar spinal cord, init"
S34122D,"Incomplete lesion of L2 level of lumbar spinal cord, subs"
S34122S,"Incomplete lesion of L2 level of lumbar spinal cord, sequela"
S34123A,"Incomplete lesion of L3 level of lumbar spinal cord, init"
S34123D,"Incomplete lesion of L3 level of lumbar spinal cord, subs"
S34123S,"Incomplete lesion of L3 level of lumbar spinal cord, sequela"
S34124A,"Incomplete lesion of L4 level of lumbar spinal cord, init"
S34124D,"Incomplete lesion of L4 level of lumbar spinal cord, subs"
S34124S,"Incomplete lesion of L4 level of lumbar spinal cord, sequela"
S34125A,"Incomplete lesion of L5 level of lumbar spinal cord, init"
S34125D,"Incomplete lesion of L5 level of lumbar spinal cord, subs"
S34125S,"Incomplete lesion of L5 level of lumbar spinal cord, sequela"
S34129A,"Incomplete lesion of unsp level of lumbar spinal cord, init"
S34129D,"Incomplete lesion of unsp level of lumbar spinal cord, subs"
S34129S,"Incomplete lesion of unsp level of lum spinal cord, sequela"
S34131A,"Complete lesion of sacral spinal cord, initial encounter"
S34131D,"Complete lesion of sacral spinal cord, subsequent encounter"
S34131S,"Complete lesion of sacral spinal cord, sequela"
S34132A,"Incomplete lesion of sacral spinal cord, initial encounter"
S34132D,"Incomplete lesion of sacral spinal cord, subs encntr"
S34132S,"Incomplete lesion of sacral spinal cord, sequela"
S34139A,"Unspecified injury to sacral spinal cord, initial encounter"
S34139D,"Unspecified injury to sacral spinal cord, subs encntr"
S34139S,"Unspecified injury to sacral spinal cord, sequela"
S3421XA,"Injury of nerve root of lumbar spine, initial encounter"
S3421XD,"Injury of nerve root of lumbar spine, subsequent encounter"
S3421XS,"Injury of nerve root of lumbar spine, sequela"
S3422XA,"Injury of nerve root of sacral spine, initial encounter"
S3422XD,"Injury of nerve root of sacral spine, subsequent encounter"
S3422XS,"Injury of nerve root of sacral spine, sequela"
S343XXA,"Injury of cauda equina, initial encounter"
S343XXD,"Injury of cauda equina, subsequent encounter"
S343XXS,"Injury of cauda equina, sequela"
S344XXA,"Injury of lumbosacral plexus, initial encounter"
S344XXD,"Injury of lumbosacral plexus, subsequent encounter"
S344XXS,"Injury of lumbosacral plexus, sequela"
S345XXA,"Injury of lumbar, sacral and pelvic sympathetic nerves, init"
S345XXD,"Injury of lumbar, sacral and pelvic sympathetic nerves, subs"
S345XXS,"Inj lumbar, sacral and pelvic sympathetic nerves, sequela"
S346XXA,"Inj prph nerve(s) at abd, low back and pelvis level, init"
S346XXD,"Inj prph nerve(s) at abd, low back and pelvis level, subs"
S346XXS,"Inj prph nerve(s) at abd, low back and pelvis level, sequela"
S348XXA,"Injury of nerves at abdomen, low back and pelvis level, init"
S348XXD,"Injury of nerves at abdomen, low back and pelvis level, subs"
S348XXS,"Inj nerves at abdomen, low back and pelvis level, sequela"
S349XXA,"Inj unsp nerves at abdomen, low back and pelvis level, init"
S349XXD,"Inj unsp nerves at abdomen, low back and pelvis level, subs"
S349XXS,"Inj unsp nerves at abd, low back and pelvis level, sequela"
S3500XA,"Unspecified injury of abdominal aorta, initial encounter"
S3500XD,"Unspecified injury of abdominal aorta, subsequent encounter"
S3500XS,"Unspecified injury of abdominal aorta, sequela"
S3501XA,"Minor laceration of abdominal aorta, initial encounter"
S3501XD,"Minor laceration of abdominal aorta, subsequent encounter"
S3501XS,"Minor laceration of abdominal aorta, sequela"
S3502XA,"Major laceration of abdominal aorta, initial encounter"
S3502XD,"Major laceration of abdominal aorta, subsequent encounter"
S3502XS,"Major laceration of abdominal aorta, sequela"
S3509XA,"Other injury of abdominal aorta, initial encounter"
S3509XD,"Other injury of abdominal aorta, subsequent encounter"
S3509XS,"Other injury of abdominal aorta, sequela"
S3510XA,"Unspecified injury of inferior vena cava, initial encounter"
S3510XD,"Unspecified injury of inferior vena cava, subs encntr"
S3510XS,"Unspecified injury of inferior vena cava, sequela"
S3511XA,"Minor laceration of inferior vena cava, initial encounter"
S3511XD,"Minor laceration of inferior vena cava, subsequent encounter"
S3511XS,"Minor laceration of inferior vena cava, sequela"
S3512XA,"Major laceration of inferior vena cava, initial encounter"
S3512XD,"Major laceration of inferior vena cava, subsequent encounter"
S3512XS,"Major laceration of inferior vena cava, sequela"
S3519XA,"Other injury of inferior vena cava, initial encounter"
S3519XD,"Other injury of inferior vena cava, subsequent encounter"
S3519XS,"Other injury of inferior vena cava, sequela"
S35211A,"Minor laceration of celiac artery, initial encounter"
S35211D,"Minor laceration of celiac artery, subsequent encounter"
S35211S,"Minor laceration of celiac artery, sequela"
S35212A,"Major laceration of celiac artery, initial encounter"
S35212D,"Major laceration of celiac artery, subsequent encounter"
S35212S,"Major laceration of celiac artery, sequela"
S35218A,"Other injury of celiac artery, initial encounter"
S35218D,"Other injury of celiac artery, subsequent encounter"
S35218S,"Other injury of celiac artery, sequela"
S35219A,"Unspecified injury of celiac artery, initial encounter"
S35219D,"Unspecified injury of celiac artery, subsequent encounter"
S35219S,"Unspecified injury of celiac artery, sequela"
S35221A,"Minor laceration of superior mesenteric artery, init encntr"
S35221D,"Minor laceration of superior mesenteric artery, subs encntr"
S35221S,"Minor laceration of superior mesenteric artery, sequela"
S35222A,"Major laceration of superior mesenteric artery, init encntr"
S35222D,"Major laceration of superior mesenteric artery, subs encntr"
S35222S,"Major laceration of superior mesenteric artery, sequela"
S35228A,"Other injury of superior mesenteric artery, init encntr"
S35228D,"Other injury of superior mesenteric artery, subs encntr"
S35228S,"Other injury of superior mesenteric artery, sequela"
S35229A,"Unsp injury of superior mesenteric artery, init encntr"
S35229D,"Unsp injury of superior mesenteric artery, subs encntr"
S35229S,"Unspecified injury of superior mesenteric artery, sequela"
S35231A,"Minor laceration of inferior mesenteric artery, init encntr"
S35231D,"Minor laceration of inferior mesenteric artery, subs encntr"
S35231S,"Minor laceration of inferior mesenteric artery, sequela"
S35232A,"Major laceration of inferior mesenteric artery, init encntr"
S35232D,"Major laceration of inferior mesenteric artery, subs encntr"
S35232S,"Major laceration of inferior mesenteric artery, sequela"
S35238A,"Other injury of inferior mesenteric artery, init encntr"
S35238D,"Other injury of inferior mesenteric artery, subs encntr"
S35238S,"Other injury of inferior mesenteric artery, sequela"
S35239A,"Unsp injury of inferior mesenteric artery, init encntr"
S35239D,"Unsp injury of inferior mesenteric artery, subs encntr"
S35239S,"Unspecified injury of inferior mesenteric artery, sequela"
S35291A,"Minor laceration of branches of celiac and mesent art, init"
S35291D,"Minor laceration of branches of celiac and mesent art, subs"
S35291S,"Minor lacerat branches of celiac and mesent art, sequela"
S35292A,"Major laceration of branches of celiac and mesent art, init"
S35292D,"Major laceration of branches of celiac and mesent art, subs"
S35292S,"Major lacerat branches of celiac and mesent art, sequela"
S35298A,"Inj branches of celiac and mesenteric artery, init encntr"
S35298D,"Inj branches of celiac and mesenteric artery, subs encntr"
S35298S,"Inj branches of celiac and mesenteric artery, sequela"
S35299A,"Unsp injury of branches of celiac and mesent art, init"
S35299D,"Unsp injury of branches of celiac and mesent art, subs"
S35299S,"Unsp injury of branches of celiac and mesent art, sequela"
S35311A,"Laceration of portal vein, initial encounter"
S35311D,"Laceration of portal vein, subsequent encounter"
S35311S,"Laceration of portal vein, sequela"
S35318A,"Other specified injury of portal vein, initial encounter"
S35318D,"Other specified injury of portal vein, subsequent encounter"
S35318S,"Other specified injury of portal vein, sequela"
S35319A,"Unspecified injury of portal vein, initial encounter"
S35319D,"Unspecified injury of portal vein, subsequent encounter"
S35319S,"Unspecified injury of portal vein, sequela"
S35321A,"Laceration of splenic vein, initial encounter"
S35321D,"Laceration of splenic vein, subsequent encounter"
S35321S,"Laceration of splenic vein, sequela"
S35328A,"Other specified injury of splenic vein, initial encounter"
S35328D,"Other specified injury of splenic vein, subsequent encounter"
S35328S,"Other specified injury of splenic vein, sequela"
S35329A,"Unspecified injury of splenic vein, initial encounter"
S35329D,"Unspecified injury of splenic vein, subsequent encounter"
S35329S,"Unspecified injury of splenic vein, sequela"
S35331A,"Laceration of superior mesenteric vein, initial encounter"
S35331D,"Laceration of superior mesenteric vein, subsequent encounter"
S35331S,"Laceration of superior mesenteric vein, sequela"
S35338A,"Oth injury of superior mesenteric vein, init encntr"
S35338D,"Oth injury of superior mesenteric vein, subs encntr"
