TERM,MEANING
F19180,Oth psychoactive substance abuse w anxiety disorder
F19181,Oth psychoactive substance abuse w sexual dysfunction
F19182,Oth psychoactive substance abuse w sleep disorder
F19188,Oth psychoactive substance abuse w oth disorder
F1919,Oth psychoactive substance abuse w unsp disorder
F1920,"Other psychoactive substance dependence, uncomplicated"
F1921,"Other psychoactive substance dependence, in remission"
F19220,"Oth psychoactive substance dependence w intoxication, uncomp"
F19221,Oth psychoactive substance dependence w intox delirium
F19222,Oth psychoactv substance depend w intox w perceptual disturb
F19229,"Oth psychoactive substance dependence w intoxication, unsp"
F19230,"Oth psychoactive substance dependence w withdrawal, uncomp"
F19231,Oth psychoactive substance dependence w withdrawal delirium
F19232,Oth psychoactv sub depend w w/drawal w perceptl disturb
F19239,"Oth psychoactive substance dependence with withdrawal, unsp"
F1924,Oth psychoactive substance dependence w mood disorder
F19250,Oth psychoactv substance depend w psych disorder w delusions
F19251,Oth psychoactv substance depend w psych disorder w hallucin
F19259,"Oth psychoactv substance depend w psychotic disorder, unsp"
F1926,Oth psychoactv substance depend w persist amnestic disorder
F1927,Oth psychoactive substance dependence w persisting dementia
F19280,Oth psychoactive substance dependence w anxiety disorder
F19281,Oth psychoactive substance dependence w sexual dysfunction
F19282,Oth psychoactive substance dependence w sleep disorder
F19288,Oth psychoactive substance dependence w oth disorder
F1929,Oth psychoactive substance dependence w unsp disorder
F1990,"Other psychoactive substance use, unspecified, uncomplicated"
F19920,"Oth psychoactive substance use, unsp w intoxication, uncomp"
F19921,"Oth psychoactive substance use, unsp w intox w delirium"
F19922,"Oth psychoactv sub use, unsp w intox w perceptl disturb"
F19929,"Oth psychoactive substance use, unsp with intoxication, unsp"
F19930,"Oth psychoactive substance use, unsp w withdrawal, uncomp"
F19931,"Oth psychoactive substance use, unsp w withdrawal delirium"
F19932,"Oth psychoactv sub use, unsp w w/drawal w perceptl disturb"
F19939,"Other psychoactive substance use, unsp with withdrawal, unsp"
F1994,"Oth psychoactive substance use, unsp w mood disorder"
F19950,"Oth psychoactv sub use, unsp w psych disorder w delusions"
F19951,"Oth psychoactv sub use, unsp w psych disorder w hallucin"
F19959,"Oth psychoactv substance use, unsp w psych disorder, unsp"
F1996,"Oth psychoactv sub use, unsp w persist amnestic disorder"
F1997,"Oth psychoactive substance use, unsp w persisting dementia"
F19980,"Oth psychoactive substance use, unsp w anxiety disorder"
F19981,"Oth psychoactive substance use, unsp w sexual dysfunction"
F19982,"Oth psychoactive substance use, unsp w sleep disorder"
F19988,"Oth psychoactive substance use, unsp w oth disorder"
F1999,"Oth psychoactive substance use, unsp w unsp disorder"
F200,Paranoid schizophrenia
F201,Disorganized schizophrenia
F202,Catatonic schizophrenia
F203,Undifferentiated schizophrenia
F205,Residual schizophrenia
F2081,Schizophreniform disorder
F2089,Other schizophrenia
F209,"Schizophrenia, unspecified"
F21,Schizotypal disorder
F22,Delusional disorders
F23,Brief psychotic disorder
F24,Shared psychotic disorder
F250,"Schizoaffective disorder, bipolar type"
F251,"Schizoaffective disorder, depressive type"
F258,Other schizoaffective disorders
F259,"Schizoaffective disorder, unspecified"
F28,Oth psych disorder not due to a sub or known physiol cond
F29,Unsp psychosis not due to a substance or known physiol cond
F3010,"Manic episode without psychotic symptoms, unspecified"
F3011,"Manic episode without psychotic symptoms, mild"
F3012,"Manic episode without psychotic symptoms, moderate"
F3013,"Manic episode, severe, without psychotic symptoms"
F302,"Manic episode, severe with psychotic symptoms"
F303,Manic episode in partial remission
F304,Manic episode in full remission
F308,Other manic episodes
F309,"Manic episode, unspecified"
F310,"Bipolar disorder, current episode hypomanic"
F3110,"Bipolar disord, crnt episode manic w/o psych features, unsp"
F3111,"Bipolar disord, crnt episode manic w/o psych features, mild"
F3112,"Bipolar disord, crnt episode manic w/o psych features, mod"
F3113,"Bipolar disord, crnt epsd manic w/o psych features, severe"
F312,"Bipolar disord, crnt episode manic severe w psych features"
F3130,"Bipolar disord, crnt epsd depress, mild or mod severt, unsp"
F3131,"Bipolar disorder, current episode depressed, mild"
F3132,"Bipolar disorder, current episode depressed, moderate"
F314,"Bipolar disord, crnt epsd depress, sev, w/o psych features"
F315,"Bipolar disord, crnt epsd depress, severe, w psych features"
F3160,"Bipolar disorder, current episode mixed, unspecified"
F3161,"Bipolar disorder, current episode mixed, mild"
F3162,"Bipolar disorder, current episode mixed, moderate"
F3163,"Bipolar disord, crnt epsd mixed, severe, w/o psych features"
F3164,"Bipolar disord, crnt episode mixed, severe, w psych features"
F3170,"Bipolar disord, currently in remis, most recent episode unsp"
F3171,"Bipolar disord, in partial remis, most recent epsd hypomanic"
F3172,"Bipolar disord, in full remis, most recent episode hypomanic"
F3173,"Bipolar disord, in partial remis, most recent episode manic"
F3174,"Bipolar disorder, in full remis, most recent episode manic"
F3175,"Bipolar disord, in partial remis, most recent epsd depress"
F3176,"Bipolar disorder, in full remis, most recent episode depress"
F3177,"Bipolar disord, in partial remis, most recent episode mixed"
F3178,"Bipolar disorder, in full remis, most recent episode mixed"
F3181,Bipolar II disorder
F3189,Other bipolar disorder
F319,"Bipolar disorder, unspecified"
F320,"Major depressive disorder, single episode, mild"
F321,"Major depressive disorder, single episode, moderate"
F322,"Major depressv disord, single epsd, sev w/o psych features"
F323,"Major depressv disord, single epsd, severe w psych features"
F324,"Major depressv disorder, single episode, in partial remis"
F325,"Major depressive disorder, single episode, in full remission"
F3281,Premenstrual dysphoric disorder
F3289,Other specified depressive episodes
F329,"Major depressive disorder, single episode, unspecified"
F330,"Major depressive disorder, recurrent, mild"
F331,"Major depressive disorder, recurrent, moderate"
F332,"Major depressv disorder, recurrent severe w/o psych features"
F333,"Major depressv disorder, recurrent, severe w psych symptoms"
F3340,"Major depressive disorder, recurrent, in remission, unsp"
F3341,"Major depressive disorder, recurrent, in partial remission"
F3342,"Major depressive disorder, recurrent, in full remission"
F338,Other recurrent depressive disorders
F339,"Major depressive disorder, recurrent, unspecified"
F340,Cyclothymic disorder
F341,Dysthymic disorder
F3481,Disruptive mood dysregulation disorder
F3489,Other specified persistent mood disorders
F349,"Persistent mood [affective] disorder, unspecified"
F39,Unspecified mood [affective] disorder
F4000,"Agoraphobia, unspecified"
F4001,Agoraphobia with panic disorder
F4002,Agoraphobia without panic disorder
F4010,"Social phobia, unspecified"
F4011,"Social phobia, generalized"
F40210,Arachnophobia
F40218,Other animal type phobia
F40220,Fear of thunderstorms
F40228,Other natural environment type phobia
F40230,Fear of blood
F40231,Fear of injections and transfusions
F40232,Fear of other medical care
F40233,Fear of injury
F40240,Claustrophobia
F40241,Acrophobia
F40242,Fear of bridges
F40243,Fear of flying
F40248,Other situational type phobia
F40290,Androphobia
F40291,Gynephobia
F40298,Other specified phobia
F408,Other phobic anxiety disorders
F409,"Phobic anxiety disorder, unspecified"
F410,Panic disorder [episodic paroxysmal anxiety]
F411,Generalized anxiety disorder
F413,Other mixed anxiety disorders
F418,Other specified anxiety disorders
F419,"Anxiety disorder, unspecified"
F422,Mixed obsessional thoughts and acts
F423,Hoarding disorder
F424,Excoriation (skin-picking) disorder
F428,Other obsessive-compulsive disorder
F429,"Obsessive-compulsive disorder, unspecified"
F430,Acute stress reaction
F4310,"Post-traumatic stress disorder, unspecified"
F4311,"Post-traumatic stress disorder, acute"
F4312,"Post-traumatic stress disorder, chronic"
F4320,"Adjustment disorder, unspecified"
F4321,Adjustment disorder with depressed mood
F4322,Adjustment disorder with anxiety
F4323,Adjustment disorder with mixed anxiety and depressed mood
F4324,Adjustment disorder with disturbance of conduct
F4325,Adjustment disorder w mixed disturb of emotions and conduct
F4329,Adjustment disorder with other symptoms
F438,Other reactions to severe stress
F439,"Reaction to severe stress, unspecified"
F440,Dissociative amnesia
F441,Dissociative fugue
F442,Dissociative stupor
F444,Conversion disorder with motor symptom or deficit
F445,Conversion disorder with seizures or convulsions
F446,Conversion disorder with sensory symptom or deficit
F447,Conversion disorder with mixed symptom presentation
F4481,Dissociative identity disorder
F4489,Other dissociative and conversion disorders
F449,"Dissociative and conversion disorder, unspecified"
F450,Somatization disorder
F451,Undifferentiated somatoform disorder
F4520,"Hypochondriacal disorder, unspecified"
F4521,Hypochondriasis
F4522,Body dysmorphic disorder
F4529,Other hypochondriacal disorders
F4541,Pain disorder exclusively related to psychological factors
F4542,Pain disorder with related psychological factors
F458,Other somatoform disorders
F459,"Somatoform disorder, unspecified"
F481,Depersonalization-derealization syndrome
F482,Pseudobulbar affect
F488,Other specified nonpsychotic mental disorders
F489,"Nonpsychotic mental disorder, unspecified"
F5000,"Anorexia nervosa, unspecified"
F5001,"Anorexia nervosa, restricting type"
F5002,"Anorexia nervosa, binge eating/purging type"
F502,Bulimia nervosa
F5081,Binge eating disorder
F5082,Avoidant/restrictive food intake disorder
F5089,Other specified eating disorder
F509,"Eating disorder, unspecified"
F5101,Primary insomnia
F5102,Adjustment insomnia
F5103,Paradoxical insomnia
F5104,Psychophysiologic insomnia
F5105,Insomnia due to other mental disorder
F5109,Oth insomnia not due to a substance or known physiol cond
F5111,Primary hypersomnia
F5112,Insufficient sleep syndrome
F5113,Hypersomnia due to other mental disorder
F5119,Oth hypersomnia not due to a substance or known physiol cond
F513,Sleepwalking [somnambulism]
F514,Sleep terrors [night terrors]
F515,Nightmare disorder
F518,Oth sleep disord not due to a sub or known physiol cond
F519,"Sleep disorder not due to a sub or known physiol cond, unsp"
F520,Hypoactive sexual desire disorder
F521,Sexual aversion disorder
F5221,Male erectile disorder
F5222,Female sexual arousal disorder
F5231,Female orgasmic disorder
F5232,Male orgasmic disorder
F524,Premature ejaculation
F525,Vaginismus not due to a substance or known physiol condition
F526,Dyspareunia not due to a substance or known physiol cond
F528,Oth sexual dysfnct not due to a sub or known physiol cond
F529,Unsp sexual dysfnct not due to a sub or known physiol cond
F53,Puerperal psychosis
F54,Psych & behavrl factors assoc w disord or dis classd elswhr
F550,Abuse of antacids
F551,Abuse of herbal or folk remedies
F552,Abuse of laxatives
F553,Abuse of steroids or hormones
F554,Abuse of vitamins
F558,Abuse of other non-psychoactive substances
F59,Unsp behavrl synd assoc w physiol disturb and physcl factors
F600,Paranoid personality disorder
F601,Schizoid personality disorder
F602,Antisocial personality disorder
F603,Borderline personality disorder
F604,Histrionic personality disorder
F605,Obsessive-compulsive personality disorder
F606,Avoidant personality disorder
F607,Dependent personality disorder
F6081,Narcissistic personality disorder
F6089,Other specific personality disorders
F609,"Personality disorder, unspecified"
F630,Pathological gambling
F631,Pyromania
F632,Kleptomania
F633,Trichotillomania
F6381,Intermittent explosive disorder
F6389,Other impulse disorders
F639,"Impulse disorder, unspecified"
F640,Transsexualism
F641,Dual role transvestism
F642,Gender identity disorder of childhood
F648,Other gender identity disorders
F649,"Gender identity disorder, unspecified"
F650,Fetishism
F651,Transvestic fetishism
F652,Exhibitionism
F653,Voyeurism
F654,Pedophilia
F6550,"Sadomasochism, unspecified"
F6551,Sexual masochism
F6552,Sexual sadism
F6581,Frotteurism
F6589,Other paraphilias
F659,"Paraphilia, unspecified"
F66,Other sexual disorders
F6810,"Factitious disorder, unspecified"
F6811,Factitious disorder w predom psych signs and symptoms
F6812,Factitious disorder w predom physical signs and symptoms
F6813,Factitious disord w comb psych and physcl signs and symptoms
F688,Other specified disorders of adult personality and behavior
F69,Unspecified disorder of adult personality and behavior
F70,Mild intellectual disabilities
F71,Moderate intellectual disabilities
F72,Severe intellectual disabilities
F73,Profound intellectual disabilities
F78,Other intellectual disabilities
F79,Unspecified intellectual disabilities
F800,Phonological disorder
F801,Expressive language disorder
F802,Mixed receptive-expressive language disorder
F804,Speech and language development delay due to hearing loss
F8081,Childhood onset fluency disorder
F8082,Social pragmatic communication disorder
F8089,Other developmental disorders of speech and language
F809,"Developmental disorder of speech and language, unspecified"
F810,Specific reading disorder
F812,Mathematics disorder
F8181,Disorder of written expression
F8189,Other developmental disorders of scholastic skills
F819,"Developmental disorder of scholastic skills, unspecified"
F82,Specific developmental disorder of motor function
F840,Autistic disorder
F842,Rett's syndrome
F843,Other childhood disintegrative disorder
F845,Asperger's syndrome
F848,Other pervasive developmental disorders
F849,"Pervasive developmental disorder, unspecified"
F88,Other disorders of psychological development
F89,Unspecified disorder of psychological development
F900,"Attn-defct hyperactivity disorder, predom inattentive type"
F901,"Attn-defct hyperactivity disorder, predom hyperactive type"
F902,"Attention-deficit hyperactivity disorder, combined type"
F908,"Attention-deficit hyperactivity disorder, other type"
F909,"Attention-deficit hyperactivity disorder, unspecified type"
F910,Conduct disorder confined to family context
F911,"Conduct disorder, childhood-onset type"
F912,"Conduct disorder, adolescent-onset type"
F913,Oppositional defiant disorder
F918,Other conduct disorders
F919,"Conduct disorder, unspecified"
F930,Separation anxiety disorder of childhood
F938,Other childhood emotional disorders
F939,"Childhood emotional disorder, unspecified"
F940,Selective mutism
F941,Reactive attachment disorder of childhood
F942,Disinhibited attachment disorder of childhood
F948,Other childhood disorders of social functioning
F949,"Childhood disorder of social functioning, unspecified"
F950,Transient tic disorder
F951,Chronic motor or vocal tic disorder
F952,Tourette's disorder
F958,Other tic disorders
F959,"Tic disorder, unspecified"
F980,Enuresis not due to a substance or known physiol condition
F981,Encopresis not due to a substance or known physiol condition
F9821,Rumination disorder of infancy
F9829,Other feeding disorders of infancy and early childhood
F983,Pica of infancy and childhood
F984,Stereotyped movement disorders
F985,Adult onset fluency disorder
F988,Oth behav/emotn disord w onset usly occur in chldhd and adol
F989,Unsp behav/emotn disord w onst usly occur in chldhd and adol
F99,"Mental disorder, not otherwise specified"
G000,Hemophilus meningitis
G001,Pneumococcal meningitis
G002,Streptococcal meningitis
G003,Staphylococcal meningitis
G008,Other bacterial meningitis
G009,"Bacterial meningitis, unspecified"
G01,Meningitis in bacterial diseases classified elsewhere
G02,Meningitis in oth infec/parastc diseases classd elswhr
G030,Nonpyogenic meningitis
G031,Chronic meningitis
G032,Benign recurrent meningitis [Mollaret]
G038,Meningitis due to other specified causes
G039,"Meningitis, unspecified"
G0400,"Acute disseminated encephalitis and encephalomyelitis, unsp"
G0401,Postinfect acute dissem encephalitis and encephalomyelitis
G0402,"Postimmun ac dissem encphlts, myelitis and encephalomyelitis"
G041,Tropical spastic paraplegia
G042,"Bacterial meningoencephalitis and meningomyelitis, NEC"
G0430,"Acute necrotizing hemorrhagic encephalopathy, unspecified"
G0431,Postinfectious acute necrotizing hemorrhagic encephalopathy
G0432,Postimmun acute necrotizing hemorrhagic encephalopathy
G0439,Other acute necrotizing hemorrhagic encephalopathy
G0481,Other encephalitis and encephalomyelitis
G0489,Other myelitis
G0490,"Encephalitis and encephalomyelitis, unspecified"
G0491,"Myelitis, unspecified"
G053,Encephalitis and encephalomyelitis in diseases classd elswhr
G054,Myelitis in diseases classified elsewhere
G060,Intracranial abscess and granuloma
G061,Intraspinal abscess and granuloma
G062,"Extradural and subdural abscess, unspecified"
G07,Intcrn & intraspinal abscs & granuloma in dis classd elswhr
G08,Intracranial and intraspinal phlebitis and thrombophlebitis
G09,Sequelae of inflammatory diseases of central nervous system
G10,Huntington's disease
G110,Congenital nonprogressive ataxia
G111,Early-onset cerebellar ataxia
G112,Late-onset cerebellar ataxia
G113,Cerebellar ataxia with defective DNA repair
G114,Hereditary spastic paraplegia
G118,Other hereditary ataxias
G119,"Hereditary ataxia, unspecified"
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
G121,Other inherited spinal muscular atrophy
G1220,"Motor neuron disease, unspecified"
G1221,Amyotrophic lateral sclerosis
G1222,Progressive bulbar palsy
G1223,Primary lateral sclerosis
G1224,Familial motor neuron disease
G1225,Progressive spinal muscle atrophy
G1229,Other motor neuron disease
G128,Other spinal muscular atrophies and related syndromes
G129,"Spinal muscular atrophy, unspecified"
G130,Paraneoplastic neuromyopathy and neuropathy
G131,Oth systemic atrophy aff cnsl in neoplastic disease
G132,Systemic atrophy primarily affecting the cnsl in myxedema
G138,Systemic atrophy aff cnsl in oth diseases classd elswhr
G14,Postpolio syndrome
G20,Parkinson's disease
G210,Malignant neuroleptic syndrome
G2111,Neuroleptic induced parkinsonism
G2119,Other drug induced secondary parkinsonism
G212,Secondary parkinsonism due to other external agents
G213,Postencephalitic parkinsonism
G214,Vascular parkinsonism
G218,Other secondary parkinsonism
G219,"Secondary parkinsonism, unspecified"
G230,Hallervorden-Spatz disease
G231,Progressive supranuclear ophthalmoplegia
G232,Striatonigral degeneration
G238,Other specified degenerative diseases of basal ganglia
G239,"Degenerative disease of basal ganglia, unspecified"
G2401,Drug induced subacute dyskinesia
G2402,Drug induced acute dystonia
G2409,Other drug induced dystonia
G241,Genetic torsion dystonia
G242,Idiopathic nonfamilial dystonia
G243,Spasmodic torticollis
G244,Idiopathic orofacial dystonia
G245,Blepharospasm
G248,Other dystonia
G249,"Dystonia, unspecified"
G250,Essential tremor
G251,Drug-induced tremor
G252,Other specified forms of tremor
G253,Myoclonus
G254,Drug-induced chorea
G255,Other chorea
G2561,Drug induced tics
G2569,Other tics of organic origin
G2570,"Drug induced movement disorder, unspecified"
G2571,Drug induced akathisia
G2579,Other drug induced movement disorders
G2581,Restless legs syndrome
G2582,Stiff-man syndrome
G2583,Benign shuddering attacks
G2589,Other specified extrapyramidal and movement disorders
G259,"Extrapyramidal and movement disorder, unspecified"
G26,Extrapyramidal and movement disord in diseases classd elswhr
G300,Alzheimer's disease with early onset
G301,Alzheimer's disease with late onset
G308,Other Alzheimer's disease
G309,"Alzheimer's disease, unspecified"
G3101,Pick's disease
G3109,Other frontotemporal dementia
G311,"Senile degeneration of brain, not elsewhere classified"
G312,Degeneration of nervous system due to alcohol
G3181,Alpers disease
G3182,Leigh's disease
G3183,Dementia with Lewy bodies
G3184,"Mild cognitive impairment, so stated"
G3185,Corticobasal degeneration
G3189,Other specified degenerative diseases of nervous system
G319,"Degenerative disease of nervous system, unspecified"
G320,Subac comb degeneration of spinal cord in dis classd elswhr
G3281,Cerebellar ataxia in diseases classified elsewhere
G3289,Oth degeneratv disord of nervous sys in dis classd elswhr
G35,Multiple sclerosis
G360,Neuromyelitis optica [Devic]
G361,Acute and subacute hemorrhagic leukoencephalitis [Hurst]
G368,Other specified acute disseminated demyelination
G369,"Acute disseminated demyelination, unspecified"
G370,Diffuse sclerosis of central nervous system
G371,Central demyelination of corpus callosum
G372,Central pontine myelinolysis
G373,Acute transverse myelitis in demyelinating disease of cnsl
G374,Subacute necrotizing myelitis of central nervous system
G375,Concentric sclerosis [Balo] of central nervous system
G378,Oth demyelinating diseases of central nervous system
G379,"Demyelinating disease of central nervous system, unspecified"
G40001,"Local-rel idio epi w seiz of loc onst, not ntrct, w stat epi"
G40009,"Local-rel idio epi w seiz of loc onst,not ntrct,w/o stat epi"
G40011,"Local-rel idio epi w seiz of loc onset, ntrct, w stat epi"
G40019,"Local-rel idio epi w seiz of loc onset, ntrct, w/o stat epi"
G40101,"Local-rel symptc epi w simp part seiz, not ntrct, w stat epi"
G40109,"Local-rel symptc epi w simp prt seiz,not ntrct, w/o stat epi"
G40111,"Local-rel symptc epi w simple part seiz, ntrct, w stat epi"
G40119,"Local-rel symptc epi w simple part seiz, ntrct, w/o stat epi"
G40201,"Local-rel symptc epi w cmplx prt seiz, not ntrct, w stat epi"
G40209,"Local-rel symptc epi w cmplx prt seiz,not ntrct,w/o stat epi"
G40211,"Local-rel symptc epi w cmplx partial seiz, ntrct, w stat epi"
G40219,"Local-rel symptc epi w cmplx part seiz, ntrct, w/o stat epi"
G40301,"Gen idiopathic epilepsy, not intractable, w stat epi"
G40309,"Gen idiopathic epilepsy, not intractable, w/o stat epi"
G40311,"Generalized idiopathic epilepsy, intractable, w stat epi"
G40319,"Generalized idiopathic epilepsy, intractable, w/o stat epi"
G40A01,"Absence epileptic syndrome, not intractable, w stat epi"
G40A09,"Absence epileptic syndrome, not intractable, w/o stat epi"
G40A11,"Absence epileptic syndrome, intractable, w stat epi"
G40A19,"Absence epileptic syndrome, intractable, w/o stat epi"
G40B01,"Juvenile myoclonic epilepsy, not intractable, w stat epi"
G40B09,"Juvenile myoclonic epilepsy, not intractable, w/o stat epi"
G40B11,"Juvenile myoclonic epilepsy, intractable, w stat epi"
G40B19,"Juvenile myoclonic epilepsy, intractable, w/o stat epi"
G40401,"Oth generalized epilepsy, not intractable, w stat epi"
G40409,"Oth generalized epilepsy, not intractable, w/o stat epi"
G40411,"Oth generalized epilepsy, intractable, w status epilepticus"
G40419,"Oth generalized epilepsy, intractable, w/o stat epi"
G40501,"Epileptic seiz rel to extrn causes, not ntrct, w stat epi"
G40509,"Epileptic seiz rel to extrn causes, not ntrct, w/o stat epi"
G40801,"Other epilepsy, not intractable, with status epilepticus"
G40802,"Other epilepsy, not intractable, without status epilepticus"
G40803,"Other epilepsy, intractable, with status epilepticus"
G40804,"Other epilepsy, intractable, without status epilepticus"
G40811,"Lennox-Gastaut syndrome, not intractable, w stat epi"
G40812,"Lennox-Gastaut syndrome, not intractable, w/o stat epi"
G40813,"Lennox-Gastaut syndrome, intractable, w status epilepticus"
G40814,"Lennox-Gastaut syndrome, intractable, w/o status epilepticus"
G40821,"Epileptic spasms, not intractable, with status epilepticus"
G40822,"Epileptic spasms, not intractable, w/o status epilepticus"
G40823,"Epileptic spasms, intractable, with status epilepticus"
G40824,"Epileptic spasms, intractable, without status epilepticus"
G4089,Other seizures
G40901,"Epilepsy, unsp, not intractable, with status epilepticus"
G40909,"Epilepsy, unsp, not intractable, without status epilepticus"
G40911,"Epilepsy, unspecified, intractable, with status epilepticus"
G40919,"Epilepsy, unsp, intractable, without status epilepticus"
G43001,"Migraine w/o aura, not intractable, with status migrainosus"
G43009,"Migraine w/o aura, not intractable, w/o status migrainosus"
G43011,"Migraine without aura, intractable, with status migrainosus"
G43019,"Migraine w/o aura, intractable, without status migrainosus"
G43101,"Migraine with aura, not intractable, with status migrainosus"
G43109,"Migraine with aura, not intractable, w/o status migrainosus"
G43111,"Migraine with aura, intractable, with status migrainosus"
G43119,"Migraine with aura, intractable, without status migrainosus"
G43401,"Hemiplegic migraine, not intractable, w status migrainosus"
G43409,"Hemiplegic migraine, not intractable, w/o status migrainosus"
G43411,"Hemiplegic migraine, intractable, with status migrainosus"
G43419,"Hemiplegic migraine, intractable, without status migrainosus"
G43501,"Perst migraine aura w/o cereb infrc, not ntrct, w stat migr"
G43509,"Perst migrn aura w/o cereb infrc, not ntrct, w/o stat migr"
G43511,"Perst migraine aura w/o cerebral infrc, ntrct, w stat migr"
G43519,"Perst migraine aura w/o cerebral infrc, ntrct, w/o stat migr"
G43601,"Perst migraine aura w cerebral infrc, not ntrct, w stat migr"
G43609,"Perst migraine aura w cereb infrc, not ntrct, w/o stat migr"
G43611,"Perst migraine aura w cerebral infrc, ntrct, w stat migr"
G43619,"Perst migraine aura w cerebral infrc, ntrct, w/o stat migr"
G43701,"Chronic migraine w/o aura, not intractable, w stat migr"
G43709,"Chronic migraine w/o aura, not intractable, w/o stat migr"
G43711,"Chronic migraine w/o aura, intractable, w status migrainosus"
G43719,"Chronic migraine w/o aura, intractable, w/o stat migr"
G43A0,"Cyclical vomiting, not intractable"
G43A1,"Cyclical vomiting, intractable"
G43B0,"Ophthalmoplegic migraine, not intractable"
G43B1,"Ophthalmoplegic migraine, intractable"
G43C0,"Periodic headache syndromes in chld/adlt, not intractable"
G43C1,"Periodic headache syndromes in child or adult, intractable"
G43D0,"Abdominal migraine, not intractable"
G43D1,"Abdominal migraine, intractable"
G43801,"Other migraine, not intractable, with status migrainosus"
G43809,"Other migraine, not intractable, without status migrainosus"
G43811,"Other migraine, intractable, with status migrainosus"
G43819,"Other migraine, intractable, without status migrainosus"
G43821,"Menstrual migraine, not intractable, with status migrainosus"
G43829,"Menstrual migraine, not intractable, w/o status migrainosus"
G43831,"Menstrual migraine, intractable, with status migrainosus"
G43839,"Menstrual migraine, intractable, without status migrainosus"
G43901,"Migraine, unsp, not intractable, with status migrainosus"
G43909,"Migraine, unsp, not intractable, without status migrainosus"
G43911,"Migraine, unspecified, intractable, with status migrainosus"
G43919,"Migraine, unsp, intractable, without status migrainosus"
G44001,"Cluster headache syndrome, unspecified, intractable"
G44009,"Cluster headache syndrome, unspecified, not intractable"
G44011,"Episodic cluster headache, intractable"
G44019,"Episodic cluster headache, not intractable"
G44021,"Chronic cluster headache, intractable"
G44029,"Chronic cluster headache, not intractable"
G44031,"Episodic paroxysmal hemicrania, intractable"
G44039,"Episodic paroxysmal hemicrania, not intractable"
G44041,"Chronic paroxysmal hemicrania, intractable"
G44049,"Chronic paroxysmal hemicrania, not intractable"
G44051,"Shrt lst unil nerlgif hdache w cnjnct inject/tear, ntrct"
G44059,"Shrt lst unil nerlgif hdache w cnjnct inject/tear, not ntrct"
G44091,"Other trigeminal autonomic cephalgias (TAC), intractable"
G44099,"Other trigeminal autonomic cephalgias (TAC), not intractable"
G441,"Vascular headache, not elsewhere classified"
G44201,"Tension-type headache, unspecified, intractable"
G44209,"Tension-type headache, unspecified, not intractable"
G44211,"Episodic tension-type headache, intractable"
G44219,"Episodic tension-type headache, not intractable"
G44221,"Chronic tension-type headache, intractable"
G44229,"Chronic tension-type headache, not intractable"
G44301,"Post-traumatic headache, unspecified, intractable"
G44309,"Post-traumatic headache, unspecified, not intractable"
G44311,"Acute post-traumatic headache, intractable"
G44319,"Acute post-traumatic headache, not intractable"
G44321,"Chronic post-traumatic headache, intractable"
G44329,"Chronic post-traumatic headache, not intractable"
G4440,"Drug-induced headache, NEC, not intractable"
G4441,"Drug-induced headache, not elsewhere classified, intractable"
G4451,Hemicrania continua
G4452,New daily persistent headache (NDPH)
G4453,Primary thunderclap headache
G4459,Other complicated headache syndrome
G4481,Hypnic headache
G4482,Headache associated with sexual activity
G4483,Primary cough headache
G4484,Primary exertional headache
G4485,Primary stabbing headache
G4489,Other headache syndrome
G450,Vertebro-basilar artery syndrome
G451,Carotid artery syndrome (hemispheric)
G452,Multiple and bilateral precerebral artery syndromes
G453,Amaurosis fugax
G454,Transient global amnesia
G458,Oth transient cerebral ischemic attacks and related synd
G459,"Transient cerebral ischemic attack, unspecified"
G460,Middle cerebral artery syndrome
G461,Anterior cerebral artery syndrome
G462,Posterior cerebral artery syndrome
G463,Brain stem stroke syndrome
G464,Cerebellar stroke syndrome
G465,Pure motor lacunar syndrome
G466,Pure sensory lacunar syndrome
G467,Other lacunar syndromes
G468,Oth vascular syndromes of brain in cerebrovascular diseases
G4700,"Insomnia, unspecified"
G4701,Insomnia due to medical condition
G4709,Other insomnia
G4710,"Hypersomnia, unspecified"
G4711,Idiopathic hypersomnia with long sleep time
G4712,Idiopathic hypersomnia without long sleep time
G4713,Recurrent hypersomnia
G4714,Hypersomnia due to medical condition
G4719,Other hypersomnia
G4720,"Circadian rhythm sleep disorder, unspecified type"
G4721,"Circadian rhythm sleep disorder, delayed sleep phase type"
G4722,"Circadian rhythm sleep disorder, advanced sleep phase type"
G4723,"Circadian rhythm sleep disorder, irregular sleep wake type"
G4724,"Circadian rhythm sleep disorder, free running type"
G4725,"Circadian rhythm sleep disorder, jet lag type"
G4726,"Circadian rhythm sleep disorder, shift work type"
G4727,Circadian rhythm sleep disorder in conditions classd elswhr
G4729,Other circadian rhythm sleep disorder
G4730,"Sleep apnea, unspecified"
G4731,Primary central sleep apnea
G4732,High altitude periodic breathing
G4733,Obstructive sleep apnea (adult) (pediatric)
G4734,Idio sleep related nonobstructive alveolar hypoventilation
G4735,Congenital central alveolar hypoventilation syndrome
G4736,Sleep related hypoventilation in conditions classd elswhr
G4737,Central sleep apnea in conditions classified elsewhere
G4739,Other sleep apnea
G47411,Narcolepsy with cataplexy
G47419,Narcolepsy without cataplexy
G47421,Narcolepsy in conditions classified elsewhere with cataplexy
G47429,Narcolepsy in conditions classified elsewhere w/o cataplexy
